SIO2(WT%),MGO(WT%)
72.132,0.478
69.322,0.576
70.124,0.615
68.126,0.703
69.967,0.592
72.778,0.36
71.343,0.483
69.238,0.6
70.662,0.538
68.617,0.652
70.96,0.581
70.693,0.631
69.625,0.658
70.505,0.626
70.266,0.698
71.567,0.549
71.287,0.542
73.101,0.404
71.988,0.433
72.014,0.434
70.269,0.553
69.968,0.644
70.084,0.677
70.407,0.6
69.418,0.817
70.717,0.588
70.169,0.651
72.19,0.31
75.53,0.06
76.35,0.02
74.3,0.46
78.51,0.03
77.98,0.06
78.95,0.05
78.84,0.06
76.1,0.005
76.67,0.01
77.27,0.04
75.35,0.07
78.67,0.06
76.85,0.02
77.2,0.02
73.4,0.05
77.7,0.005
76.59,0.07
75.66,0.16
65.24,1.79
64.39,1.96
64.42,1.82
66.54,1.61
66.28,1.62
,
,
74.54,0.3
75.06,0.17
75.43,0.23
74.32,0.18
71.82,0.36
72.37,0.44
72.25,0.44
,
,
71.69,0.51
,
,
71.63,0.56
74.09,0.42
,
74.81,0.5
,
74.56,0.41
71.89,0.69
73.1,0.19
73.03,0.45
70.85,0.63
70.07,0.79
71.774,0.088
,
,
76.688,0.068
73.851,0.078
71.102,0.128
72.184,0.122
70.976,0.106
71.449,0.122
74.78,0.028
74.304,0.022
75.997,0.069
75.681,0.051
76.105,0.044
76.487,0.043
76.094,0.048
76.234,0.063
76.273,0.058
76.408,0.052
76.191,0.056
76.882,0.057
76.787,0.063
78.22,0.09
74.1,0.46
78.07,0.2
77.96,0.2
76.91,0.1
77.79,0.06
72.845,0.941
71.452,0.926
71.859,0.891
72.057,1.11
70.45,1.179
74.042,1.047
74.74,0.34
78.35,0.17
82.93,0.11
74.83,0.2
75.9,0.06
75.37,0.13
73.34,0.2
75.87,0.09
73.23,0.36
73.35,0.3
73.95,0.11
76.9,0.13
73.93,0.11
73.61,0.12
73.61,0.14
73.62,0.12
75.46,0.11
74.24,0.14
73.99,0.14
74.52,0.12
72.55,0.12
73.96,0.13
66.69,1.41
74.74,0.22
67.27,0.78
74.23,0.3
75.55,0.17
74.82,0.19
71.98,0.4
75.05,0.09
74.08,0.18
,
,
,
,
,
,
72,0.49
76.1,0.36
73.7,0.66
69.8,0.59
71,0.74
75.7,0.47
73,0.34
75.5,0.42
71.5,0.13
73,0.14
72.3,0.12
70.6,0.22
73.7,0.12
71.4,0.08
72.7,0.18
71.4,0.24
72.4,0.18
,
,
,
,
,
,
,
,
,
,
,
,
,
73.6,0.16
78.52,0.05
76.33,0.07
72.86,0.4
73.01,0.36
72.05,0.39
72.32,0.36
64.8,1.36
66.93,1.25
65.64,1.73
66.65,1.17
65.6,1.33
67.08,1.03
68.49,1.02
69.55,0.79
65.81,1.09
66.44,1.28
71.54,0.76
65.69,1.35
66.29,1.43
72.45,0.31
69.48,0.19
69.84,0.64
70.68,0.67
69.05,0.84
75.9,0.26
71.79,0.33
72.64,0.26
71.73,0.2
71.3,0.2
70.91,0.11
73.51,0.11
70.16,0.31
